"갤럭시 GALAX 지포스 GT710 D3 1GB LP 무소음,갤럭시,NVIDIA,지포스 GT7xx,PCIe2.0x8,GDDR3(DDR3),1GB,64-bit,1개,,,O,,,,,,,방열판,171 mm,38 mm,,39880,http://timg.danawa.com/prod_img/500000/234/758/img/3758234_1.jpg"
"AXLE  지포스 GTX1050 D5 2GB,AXLE,NVIDIA,지포스 GTX10xx,PCIe3.0x16,GDDR5(DDR5),2GB,,1개,1개,,O,,,O,,,,방열판+히트파이프,174 mm,38 mm,최대 75W,143990,http://timg.danawa.com/prod_img/500000/252/661/img/4661252_1.jpg"
"SAPPHIRE  라데온 RX 550 OC D5 2GB PULSE,SAPPHIRE,AMD(ATi),라데온 RX 5xx,,GDDR5(DDR5),2GB,128-bit,1개,1개,,,,,,O,,,,158 mm,28 mm,최대 65W,111500,http://timg.danawa.com/prod_img/500000/858/087/img/5087858_1.jpg"
"GIGABYTE  지포스 GT710 UD2 D3 1GB 팬리스,GIGABYTE,NVIDIA,지포스 GT7xx,PCIe2.0x8,GDDR3(DDR3),1GB,64-bit,1개,,,O,,,,,,,방열판,150 mm,36 mm,,46000,http://timg.danawa.com/prod_img/500000/329/956/img/3956329_1.jpg"
"갤럭시 GALAX 지포스 GT710 D3 2GB LP 무소음,갤럭시,NVIDIA,지포스 GT7xx,PCIe2.0x8,GDDR3(DDR3),2GB,64-bit,1개,,,O,,,,,,,방열판,171 mm,38 mm,,43210,http://timg.danawa.com/prod_img/500000/272/758/img/3758272_1.jpg"
"GIGABYTE  지포스 GTX1080 Xtreme D5X 8GB 워터포스,GIGABYTE,NVIDIA,지포스 GTX10xx,PCIe3.0x16,GDDR5X(DDR5X),8GB,256-bit,3개,3개,O,O,O,O,O,,,,수냉 쿨링,264 mm,41 mm,,1060360,http://timg.danawa.com/prod_img/500000/974/254/img/4254974_1.jpg"
"이엠텍 XENON 지포스 GT610 LowProfile D3 1GB,이엠텍,NVIDIA,지포스 GT6xx,PCIe2.0x16,GDDR3(DDR3),1GB,64-bit,1개,,,O,,,,,,,,150 mm,18 mm,최대 29W,38060,http://timg.danawa.com/prod_img/500000/019/598/img/4598019_1.jpg"
"GIGABYTE  지포스 GTX1080 Xtreme D5X 8GB 워터블럭,GIGABYTE,NVIDIA,지포스 GTX10xx,PCIe3.0x16,GDDR5X(DDR5X),8GB,256-bit,1개,3개,,O,O,O,O,,,,,266 mm,25 mm,,1178300,http://timg.danawa.com/prod_img/500000/303/660/img/4660303_1.jpg"
"GIGABYTE  라데온 RX 550 UD2 D5 2GB 미니미,GIGABYTE,AMD(ATi),라데온 RX 5xx,PCIe3.0x8,GDDR5(DDR5),2GB,128-bit,1개,1개,,O,O,,O,O,,,,170 mm,29 mm,,110430,http://timg.danawa.com/prod_img/500000/228/096/img/5096228_1.jpg"
"리드텍  쿼드로 P2000 D5 5GB ABKO,리드텍,NVIDIA,쿼드로 시리즈,PCIe3.0x16,GDDR5(DDR5),5GB,160-bit,,4개,,,,,,,,,,,,최대 75W,733350,http://timg.danawa.com/prod_img/500000/433/041/img/5041433_1.jpg"
