"인텔 코어i3-7세대 7320 (카비레이크)(정품),인텔,인텔(코어i3-7세대),인텔(소켓1151),64 비트,듀얼 코어,쓰레드 4개,4.1 GHz,14nm,51 W,,인텔 HD 630,205960,http://timg.danawa.com/prod_img/500000/072/828/img/4828072_1.jpg"
"인텔 제온 E5-2630 v4 (브로드웰-EP)(정품),인텔,인텔(제온),인텔(소켓2011-V3),64 비트,10 코어,쓰레드 20개,2.2 GHz,14nm,85 W,,,985770,http://timg.danawa.com/prod_img/500000/096/370/img/4370096_1.jpg"
"AMD A4 6300 (리치랜드)(정품),AMD,AMD(리치랜드-A4),AMD(소켓FM2),64(32) 비트,듀얼 코어,쓰레드 2개,3.7 GHz,32nm,65 W,윈도우 7 가상화,,47500,http://timg.danawa.com/prod_img/500000/907/388/img/2388907_1.jpg"
"인텔 제온 E3-1220V5 (스카이레이크)(정품),인텔,인텔(제온),인텔(소켓1151),64(32) 비트,쿼드 코어,쓰레드 4개,3.0 GHz,14nm,80 W,,,297970,http://timg.danawa.com/prod_img/500000/870/588/img/3588870_1.jpg"
"인텔 제온 E5-2687W v4 (브로드웰-EP)(정품),인텔,인텔(제온),인텔(소켓2011-V3),64 비트,12 코어,쓰레드 24개,3.0 GHz,14nm,160 W,,,3114150,http://timg.danawa.com/prod_img/500000/305/370/img/4370305_1.jpg"
"인텔 코어i5-4세대 4590 (하스웰 리프레시)(정품),인텔,인텔(코어i5-4세대),인텔(소켓1150),64(32) 비트,쿼드 코어,쓰레드 4개,3.3 GHz,22nm,84 W,윈도우 7 가상화,인텔 HD 4600,293380,http://timg.danawa.com/prod_img/500000/088/599/img/2599088_1.jpg"
"인텔 제온 E5-2683 v4 (브로드웰-EP)(정품),인텔,인텔(제온),인텔(소켓2011-V3),64 비트,16 코어,쓰레드 32개,2.1 GHz,14nm,120 W,,,2710880,http://timg.danawa.com/prod_img/500000/208/370/img/4370208_1.jpg"
"인텔 제온 E5-2680 v4 (브로드웰-EP)(정품),인텔,인텔(제온),인텔(소켓2011-V3),64 비트,14 코어,쓰레드 28개,2.4 GHz,14nm,120 W,,,2542850,http://timg.danawa.com/prod_img/500000/176/370/img/4370176_1.jpg"
"인텔 제온 E3-1275V5 (스카이레이크)(정품),인텔,인텔(제온),인텔(소켓1151),64(32) 비트,쿼드 코어,쓰레드 8개,3.6 GHz,14nm,80 W,,인텔 HD P530,507450,http://timg.danawa.com/prod_img/500000/643/600/img/3600643_1.jpg"
"인텔 코어i3-6세대 6300 (스카이레이크)(정품),인텔,인텔(코어i3-6세대),인텔(소켓1151),64 비트,듀얼 코어,쓰레드 4개,3.8 GHz,14nm,51 W,윈도우 7 가상화,인텔 HD 530,189760,http://timg.danawa.com/prod_img/500000/150/464/img/3464150_1.jpg"
