"POWEREX  REX-u350+,POWEREX,M-ATX 파워,정격 300W,표기 300W,20핀+4핀,80mm 팬,,,O,O,,,32000,http://timg.danawa.com/prod_img/500000/498/116/img/3116498_1.jpg"
"CORSAIR PROFESSIONAL SERIES AX1500i 80PLUS TITANIUM,CORSAIR,ATX 파워,정격 1500W,표기 1500W,20핀+4핀,140mm 팬,O,,,O,,O,699050,http://timg.danawa.com/prod_img/500000/597/793/img/2793597_1.jpg"
"잘만  ZM1000-ARX 80PLUS PLATINUM,잘만,ATX 파워,정격 1000W,,20핀+4핀,135mm 팬,O,O,,O,,O,260000,http://timg.danawa.com/prod_img/500000/726/909/img/4909726_1.jpg"
"FSP  AURUM PT1200W,FSP,ATX 파워,정격 1200W,표기 1200W,20핀+4핀,135mm 팬,O,,,O,,O,310000,http://timg.danawa.com/prod_img/500000/552/021/img/3021552_1.jpg"
"CORSAIR  CX600 80PLUS BRONZE,CORSAIR,ATX 파워,정격 600W,표기 600W,20핀+4핀,120mm 팬,O,,,O,,O,68890,http://timg.danawa.com/prod_img/500000/735/802/img/1802735_1.jpg"
"잘만  ZM750-EBT 80PLUS GOLD,잘만,ATX 파워,정격 750W,표기 750W,20핀+4핀,135mm 팬,O,,,O,,O,149000,http://timg.danawa.com/prod_img/500000/427/182/img/3182427_1.jpg"
"AONE  600MX V2,AONE,ATX 파워,,표기 600W,20핀+4핀,120mm 팬,O,,,,,,20370,http://timg.danawa.com/prod_img/500000/191/212/img/3212191_1.jpg"
"COOLMAX  FOCUS 600W 80Plus 230V EU,COOLMAX,ATX 파워,정격 600W,표기 600W,20핀+4핀,120mm 팬,O,,,,,O,45030,http://timg.danawa.com/prod_img/500000/094/712/img/4712094_1.jpg"
"스카이디지탈  파워스테이션4 PS4-350M 86P ActivePFC V2.31,스카이디지탈,M-ATX 파워,정격 350W,표기 350W,24핀 전용,60mm 팬,O,,,O,,,40000,http://timg.danawa.com/prod_img/500000/670/585/img/2585670_1.jpg"
"스파클텍  GPK500S 80PLUS BRONZE 프리볼트,스파클텍,ATX 파워,정격 500W,,20핀+4핀,120mm 팬,O,,,O,,O,45500,http://timg.danawa.com/prod_img/500000/395/147/img/5147395_1.jpg"
"마이크로닉스  ZERO POWER 400W,마이크로닉스,ATX 파워,정격 400W,표기 400W,20핀+4핀,120mm 팬,,O,,O,,,38500,http://timg.danawa.com/prod_img/500000/731/186/img/4186731_1.jpg"
"스파클텍  GPK600S 80PLUS BRONZE 프리볼트,스파클텍,ATX 파워,정격 600W,,20핀+4핀,120mm 팬,O,,,O,,O,55850,http://timg.danawa.com/prod_img/500000/414/147/img/5147414_1.jpg"
"FSP  FSP500-50HPN 85+,FSP,ATX 파워,정격 500W,표기 500W,20핀+4핀,120mm 팬,O,,,O,,,59500,http://timg.danawa.com/prod_img/500000/228/681/img/1681228_1.jpg"
"마이크로닉스  ZERO POWER 600W,마이크로닉스,ATX 파워,정격 600W,표기 600W,20핀+4핀,120mm 팬,,O,,O,,,53500,http://timg.danawa.com/prod_img/500000/837/186/img/4186837_1.jpg"
"CORSAIR  SF600 80PLUS GOLD,CORSAIR,SFX 파워,정격 600W,표기 600W,20핀+4핀,92mm 팬,O,,,,,O,191920,http://timg.danawa.com/prod_img/500000/104/439/img/4439104_1.jpg"
"마이크로닉스  Performance II PV 600W 80Plus Bronze Surge 4K,마이크로닉스,ATX 파워,정격 600W,,20핀+4핀,120mm 팬,O,,O,O,,O,93000,http://timg.danawa.com/prod_img/500000/425/045/img/5045425_1.jpg"
"POWEREX  LEGEND 1200W Modular 80Plus Gold Sleeve Edition,POWEREX,ATX 파워,정격 1200W,,20핀+4핀,135mm 팬,O,,,,,O,299000,http://timg.danawa.com/prod_img/500000/982/767/img/4767982_1.jpg"
"맥스엘리트  MAXWELL GAMING 600W 85PLUS,맥스엘리트,ATX 파워,정격 600W,,20핀+4핀,120mm 팬,O,,,,,,39400,http://timg.danawa.com/prod_img/500000/470/809/img/4809470_1.jpg"
"시소닉  P-1200 80PLUS PLATINUM,시소닉,ATX 파워,정격 1200W,표기 1200W,20핀+4핀,120mm 팬,O,O,,O,,O,466000,http://timg.danawa.com/prod_img/500000/087/601/img/3601087_1.jpg"
"POWEREX  REX-200U,POWEREX,FLEX 파워,정격 200W,표기 200W,20핀+4핀,40mm,,,O,O,,,53000,http://timg.danawa.com/prod_img/500000/562/817/img/1817562_1.jpg"
"잘만  ZM650-XG,잘만,ATX 파워,정격 650W,표기 650W,20핀+4핀,140mm 팬,O,,,O,,O,99000,http://timg.danawa.com/prod_img/500000/164/808/img/1808164_1.jpg"
"제이씨현  UDEA FULLMAN 60S,제이씨현,ATX 파워,정격 350W,표기 550W,20핀+4핀,120mm 팬,O,,,,,,30000,http://timg.danawa.com/prod_img/500000/172/404/img/2404172_1.jpg"
"FSP  Hydro 500W 80PLUS BRONZE 230V EU,FSP,ATX 파워,정격 500W,표기 500W,20핀+4핀,120mm 팬,O,,,O,,O,59900,http://timg.danawa.com/prod_img/500000/644/981/img/3981644_1.jpg"
"POWEREX  REX-u450,POWEREX,M-ATX 파워,정격 400W,표기 450W,20핀+4핀,120mm 팬,O,,,,,,43000,http://timg.danawa.com/prod_img/500000/564/743/img/1743564_1.jpg"
"POWEREX  PREMIUM 500W 벌크,POWEREX,ATX 파워,정격 500W,표기 500W,20핀+4핀,120mm 팬,O,,,O,,,34000,http://timg.danawa.com/prod_img/500000/444/697/img/2697444_1.jpg"
"CORSAIR  VS650 80PLUS STANDARD,CORSAIR,ATX 파워,정격 650W,표기 650W,20핀+4핀,120mm 팬,O,,,O,,O,66640,http://timg.danawa.com/prod_img/500000/301/190/img/3190301_1.jpg"
"마이크로닉스  Performance II PV 500W 80Plus Bronze Surge 4K,마이크로닉스,ATX 파워,정격 500W,,20핀+4핀,120mm 팬,O,,O,O,,O,69000,http://timg.danawa.com/prod_img/500000/394/045/img/5045394_1.jpg"
"마이크로닉스  ZERO POWER 500W,마이크로닉스,ATX 파워,정격 500W,표기 500W,20핀+4핀,120mm 팬,,O,,O,,,45900,http://timg.danawa.com/prod_img/500000/794/186/img/4186794_1.jpg"
"Enermax  RevolutionXt II ERX750AWT,Enermax,ATX 파워,정격 750W,,24핀 전용,120mm 팬,O,,,O,,O,181900,http://timg.danawa.com/prod_img/500000/476/797/img/4797476_1.jpg"
"CORSAIR  RM850x 80PLUS GOLD,CORSAIR,ATX 파워,정격 850W,표기 850W,20핀+4핀,135mm 팬,O,,,O,,O,225150,http://timg.danawa.com/prod_img/500000/740/561/img/3561740_1.jpg"
"SuperFlower  SF-600R12A NOVA,SuperFlower,ATX 파워,정격 600W,표기 600W,20핀+4핀,120mm 팬,O,,,,,,54000,http://timg.danawa.com/prod_img/500000/522/293/img/3293522_1.jpg"
"POWEREX  BLACKQ II 500W 80PLUS(정품),POWEREX,ATX 파워,정격 500W,표기 500W,20핀+4핀,120mm 팬,O,,,O,,O,46500,http://timg.danawa.com/prod_img/500000/202/618/img/3618202_1.jpg"
"마이크로닉스  Compact TFX 350W 80Plus EU Standard,마이크로닉스,TFX 파워,정격 350W,표기 350W,20핀+4핀,80mm 팬,O,,,O,,O,49900,http://timg.danawa.com/prod_img/500000/987/682/img/3682987_1.jpg"
"REX COOL  SILENT TFX TG-450,REX COOL,TFX 파워,정격 230W,,20핀+4핀,80mm 팬,,,O,,,,19400,http://timg.danawa.com/prod_img/500000/713/896/img/4896713_1.jpg"
"SuperFlower  SF-850F14MP LEADEX PLATINUM,SuperFlower,ATX 파워,정격 850W,표기 850W,20핀+4핀,140mm,O,O,,O,,O,246000,http://timg.danawa.com/prod_img/500000/549/657/img/2657549_1.jpg"
"잘만  ZM600-TX 80Plus 230V EU,잘만,ATX 파워,정격 600W,표기 600W,20핀+4핀,140mm 팬,O,,,O,,O,54000,http://timg.danawa.com/prod_img/500000/634/467/img/3467634_1.jpg"
"Antec  EDGE750 GOLD LED 풀모듈러,Antec,ATX 파워,정격 750W,표기 750W,20핀+4핀,135mm 팬,O,O,,O,,O,195670,http://timg.danawa.com/prod_img/500000/864/824/img/2824864_1.jpg"
"FSP  Hydro G 750W,FSP,ATX 파워,정격 750W,표기 750W,20핀+4핀,135mm 팬,O,,,O,,O,166900,http://timg.danawa.com/prod_img/500000/652/786/img/3786652_1.jpg"
"CORSAIR  RM650x 80PLUS GOLD,CORSAIR,ATX 파워,정격 650W,표기 650W,20핀+4핀,135mm 팬,O,,,O,,O,172620,http://timg.danawa.com/prod_img/500000/707/561/img/3561707_1.jpg"
"POWEREX  LEGEND 500W GOLD PLUS,POWEREX,ATX 파워,정격 500W,표기 500W,20핀+4핀,120mm 팬,O,,,O,,O,70000,http://timg.danawa.com/prod_img/500000/999/606/img/3606999_1.jpg"
"Antec  EDGE650 GOLD LED 풀모듈러,Antec,ATX 파워,정격 650W,표기 650W,20핀+4핀,135mm 팬,O,,,O,,O,178000,http://timg.danawa.com/prod_img/500000/920/824/img/2824920_1.jpg"
"FSP  HYPER M 600W Modular 85+,FSP,ATX 파워,정격 600W,표기 600W,20핀+4핀,120mm 팬,O,,,O,,,79000,http://timg.danawa.com/prod_img/500000/252/995/img/3995252_1.jpg"
"POWEREX  LEGEND 700W 80PLUS 브론즈,POWEREX,ATX 파워,정격 700W,표기 700W,20핀+4핀,120mm 팬,O,,,O,,O,90000,http://timg.danawa.com/prod_img/500000/540/297/img/1297540_1.jpg"
"Antec  VP600P,Antec,ATX 파워,정격 600W,표기 600W,20핀+4핀,120mm 팬,O,,,O,,,74000,http://timg.danawa.com/prod_img/500000/724/899/img/2899724_1.jpg"
"EPITECH ENERGY OPTIMUS S500,EPITECH,ATX 파워,정격 200W,,20핀+4핀,120mm 팬,,,O,,,,12000,http://timg.danawa.com/prod_img/500000/381/404/img/4404381_1.jpg"
"POWEREX  BLACKQ II 600W 80PLUS,POWEREX,ATX 파워,정격 600W,표기 600W,20핀+4핀,120mm 팬,O,,,O,,O,56500,http://timg.danawa.com/prod_img/500000/528/782/img/3782528_1.jpg"
"스카이디지탈  파워스테이션4 PS4-350T 86P ActivePFC V2.31,스카이디지탈,TFX 파워,정격 350W,표기 350W,24핀 전용,80mm 팬,O,,,O,,,43500,http://timg.danawa.com/prod_img/500000/708/585/img/2585708_1.jpg"
"FSP  FSP400-60GHS(85),FSP,M-ATX 파워,정격 400W,표기 400W,20핀+4핀,80mm 팬,O,,,,,,58000,http://timg.danawa.com/prod_img/500000/473/671/img/1671473_1.jpg"
"SuperFlower  SF-1000F14MG LEADEX GOLD,SuperFlower,ATX 파워,정격 1000W,표기 1000W,20핀+4핀,140mm,O,O,,O,,O,268000,http://timg.danawa.com/prod_img/500000/811/350/img/2350811_1.jpg"
"마이크로닉스  ASTRO GD 650W 80PLUS GOLD,마이크로닉스,ATX 파워,정격 650W,표기 650W,20핀+4핀,135mm 팬,,O,O,O,,O,118000,http://timg.danawa.com/prod_img/500000/046/192/img/3192046_1.jpg"
"POWEREX  REX-S350,POWEREX,TFX 파워,정격 300W,표기 300W,20핀+4핀,80mm 팬,O,,,O,,,33240,http://timg.danawa.com/prod_img/large/group_832/416231_1.jpg"
"쿨러마스터  MasterWatt 1500W 80PLUS TITANIUM,쿨러마스터,ATX 파워,정격 1500W,,20핀+4핀,135mm 팬,O,,,O,,O,632000,http://timg.danawa.com/prod_img/500000/188/827/img/4827188_1.jpg"
"CORSAIR  HX1000i 80PLUS PLATINUM(정품),CORSAIR,ATX 파워,정격 1000W,표기 1000W,20핀+4핀,140mm,O,,,O,,O,365610,http://timg.danawa.com/prod_img/500000/500/812/img/2812500_1.jpg"
"마이크로닉스  CASLON 600W After Cooling 87+ FDB,마이크로닉스,ATX 파워,정격 600W,표기 600W,20핀+4핀,120mm 팬,O,,O,O,,,79500,http://timg.danawa.com/prod_img/500000/903/456/img/3456903_1.jpg"
"퍼스트큐브씨앤씨  First CUBE 450GM VALUE,퍼스트큐브씨앤씨,M-ATX 파워,정격 230W,,20핀+4핀,80mm 팬,,,O,,,,14000,http://timg.danawa.com/prod_img/500000/214/401/img/4401214_1.jpg"
