"ASUS PRIME H270-PRO iBORA,ASUS,인텔 CPU용,인텔(소켓1151),(인텔) H270,일반-ATX (30.5 x 22.6cm),DDR4,4개,최대 64GB,CrossFire X,PCIe3.0 x16,PCI-Express 3.0 x16,(M.2) 2개,,O,O,O,,,,,,O,O,PS/2 콤보 1개,O,,,,184410,http://timg.danawa.com/prod_img/500000/095/817/img/4817095_1.jpg"
"GIGABYTE  GA-Z270M-D3H 듀러블에디션 피씨디렉트,GIGABYTE,인텔 CPU용,인텔(소켓1151),(인텔) Z270,Micro-ATX (24.4 x 22.5cm),DDR4,4개,최대 64GB,CrossFire X,PCIe3.0 x16,PCI-Express 3.0 x16,(M.2) 1개,O,O,O,,,,,,,O,,PS/2 콤보 1개,O,,,,174760,http://timg.danawa.com/prod_img/500000/035/823/img/4823035_1.jpg"
"ECS DURATHON2 H110M4-C3V 코잇,ECS,인텔 CPU용,인텔(소켓1151),(인텔) H110,Micro-ATX (24.4 x 24.4cm),DDR4,2개,최대 32GB,,,,,O,O,,,,,,,,O,,PS/2 포트 2개,O,,,,60000,http://timg.danawa.com/prod_img/500000/310/683/img/3683310_1.jpg"
"ASUS  Z10PE-D16 WS STCOM,ASUS,인텔 CPU용,인텔(소켓2011-V3),기타,Extended-ATX (30.5 x 33.0cm),DDR4,16개,최대 128GB 이상,CrossFire X,PCIe3.0 x16,PCI-Express 3.0 x16,(M.2) 1개,,,,,,,,,,O,,PS/2 콤보 1개,O,,,,751580,http://timg.danawa.com/prod_img/500000/397/095/img/3095397_1.jpg"
"ASUS ROG MAXIMUS IX HERO STCOM,ASUS,인텔 CPU용,인텔(소켓1151),(인텔) Z270,일반-ATX (30.5 x 24.4cm),DDR4,4개,최대 64GB,CrossFire X + SLI,PCIe3.0 x16,PCI-Express 3.0 x16,(M.2) 2개,,,O,O,,,,,,O,O,,O,,,,395000,http://timg.danawa.com/prod_img/500000/765/811/img/4811765_1.jpg"
"ASUS  H110M-K 코잇,ASUS,인텔 CPU용,인텔(소켓1151),(인텔) H110,Micro-ATX (22.6 x 18.3cm),DDR4,2개,최대 32GB,,PCIe3.0 x16,,,O,O,,,,,,,,O,,PS/2 포트 2개,O,,,,68000,http://timg.danawa.com/prod_img/500000/442/950/img/4950442_1.jpg"
"ASRock  Z270 SUPERCARRIER 에즈윈,ASRock,인텔 CPU용,인텔(소켓1151),(인텔) Z270,일반-ATX (30.5 x 24.4cm),DDR4,4개,최대 64GB,Quad CrossFire X + Quad SLI,PCIe3.0 x16,PCI-Express 3.0 x16,(M.2) 3개,,,O,O,O,O,,,,,O,PS/2 콤보 1개,O,,,,463000,http://timg.danawa.com/prod_img/500000/202/893/img/4893202_1.jpg"
"GIGABYTE  GA-B250N-Phoenix WiFi 듀러블에디션 제이씨현,GIGABYTE,인텔 CPU용,인텔(소켓1151),(인텔) B250,M-iTX (17.0x17.0cm),DDR4,2개,최대 32GB,,PCIe3.0 x16,,(M.2) 1개,,,O,O,,,,,,,,PS/2 콤보 1개,O,,O,O,177440,http://timg.danawa.com/prod_img/500000/869/006/img/5006869_1.jpg"
"GIGABYTE  GA-Z270X-Gaming 9 어로스 제이씨현,GIGABYTE,인텔 CPU용,인텔(소켓1151),(인텔) Z270,Extended-ATX (30.5 x 26.4cm),DDR4,4개,최대 64GB,CrossFire X + SLI,PCIe3.0 x16,PCI-Express 3.0 x16,(M.2) 2개,,,O,O,,,,,,O,O,PS/2 콤보 1개,O,,O,O,882190,http://timg.danawa.com/prod_img/500000/529/813/img/4813529_1.jpg"
"ASUS PRIME B250M-K STCOM,ASUS,인텔 CPU용,인텔(소켓1151),(인텔) B250,Micro-ATX (22.6 x 18.5cm),DDR4,2개,최대 32GB,,PCIe3.0 x16,,(M.2) 1개,O,O,,,,,,,,O,,PS/2 포트 2개,O,,,,95000,http://timg.danawa.com/prod_img/500000/463/833/img/4833463_1.jpg"
"ASRock  X99 Taichi 에즈윈,ASRock,인텔 CPU용,인텔(소켓2011-V3),(인텔) X99,일반-ATX (30.5 x 24.4cm),DDR4,8개,최대 128GB 이상,,PCIe3.0 x16,PCI-Express 3.0 x16,(M.2) 2개,,,,,,,,O,,O,O,PS/2 콤보 1개,O,,O,O,333000,http://timg.danawa.com/prod_img/500000/633/282/img/4282633_1.jpg"
"ASUS  H110M-K iBORA (벌크),ASUS,인텔 CPU용,인텔(소켓1151),(인텔) H110,Micro-ATX (24.4 x 24.4cm),DDR4,2개,최대 32GB,,PCIe3.0 x16,,,O,O,,,,,,,,O,,PS/2 포트 2개,O,,,,68620,http://timg.danawa.com/prod_img/500000/738/817/img/4817738_1.jpg"
"GIGABYTE  GA-H81M-D2V 피씨디렉트,GIGABYTE,인텔 CPU용,인텔(소켓1150),(인텔) H81,Micro-ATX (24.4 x 24.4cm),DDR3,2개,최대 16GB,,PCIe x16,없음,,O,O,,,,,,,,O,,PS/2 콤보 1개,,,,,69690,http://timg.danawa.com/prod_img/500000/144/197/img/2197144_1.jpg"
"ASUS PRIME Z270-P iBORA,ASUS,인텔 CPU용,인텔(소켓1151),(인텔) Z270,일반-ATX (30.5 x 22.1cm),DDR4,4개,최대 64GB,CrossFire X,PCIe3.0 x16,PCI-Express 3.0 x16,(M.2) 2개,,O,O,,,,,,,O,,PS/2 포트 2개,O,,,,225960,http://timg.danawa.com/prod_img/500000/236/813/img/4813236_1.jpg"
"GIGABYTE  GA-B250-HD3 듀러블에디션 피씨디렉트,GIGABYTE,인텔 CPU용,인텔(소켓1151),(인텔) B250,일반-ATX (30.5 x 22.5cm),DDR4,4개,최대 64GB,CrossFire X,PCIe3.0 x16,PCI-Express 3.0 x16,(M.2) 1개,O,O,O,,,,,,,O,,PS/2 콤보 1개,O,,,,143670,http://timg.danawa.com/prod_img/500000/851/858/img/4858851_1.jpg"
"BIOSTAR RACING B250 GT5 이엠텍,BIOSTAR,인텔 CPU용,인텔(소켓1151),(인텔) B250,일반-ATX (30.5 x 22.5cm),DDR4,4개,최대 64GB,CrossFire X,PCIe3.0 x16,PCI-Express 3.0 x4,(M.2) 2개,O,O,O,,,,,,,,,PS/2 콤보 1개,O,,,,127000,http://timg.danawa.com/prod_img/500000/449/862/img/4862449_1.jpg"
"ASRock  Z270 Taichi 에즈윈,ASRock,인텔 CPU용,인텔(소켓1151),(인텔) Z270,일반-ATX (24.4 x 30.5cm),DDR4,4개,최대 64GB,CrossFire X + SLI,PCIe3.0 x16,PCI-Express 3.0 x16,(M.2) 3개,,,O,O,,,,,,O,O,PS/2 콤보 1개,O,,O,O,302000,http://timg.danawa.com/prod_img/500000/313/822/img/4822313_1.jpg"
"ASUS PRIME B250-PLUS iBORA,ASUS,인텔 CPU용,인텔(소켓1151),(인텔) B250,일반-ATX (30.5 x 21.8cm),DDR4,4개,최대 64GB,CrossFire X,PCIe3.0 x16,,(M.2) 2개,O,O,O,,,,,,,O,,PS/2 콤보 1개,O,,,,153320,http://timg.danawa.com/prod_img/500000/117/829/img/4829117_1.jpg"
"ASUS PRIME H270-PRO STCOM,ASUS,인텔 CPU용,인텔(소켓1151),(인텔) H270,일반-ATX (30.5 x 22.6cm),DDR4,4개,최대 64GB,CrossFire X,PCIe3.0 x16,PCI-Express 3.0 x16,(M.2) 2개,,O,O,O,,,,,,O,O,PS/2 콤보 1개,O,,,,189770,http://timg.danawa.com/prod_img/500000/253/818/img/4818253_1.jpg"
"MSI  B250M 박격포 아틱,MSI,인텔 CPU용,인텔(소켓1151),(인텔) B250,Micro-ATX (24.4 x 24.4cm),DDR4,4개,최대 64GB,CrossFire,PCIe3.0 x16,,(M.2) 1개,,O,O,O,,,,,,O,,PS/2 콤보 1개,O,,,,126000,http://timg.danawa.com/prod_img/500000/117/820/img/4820117_1.jpg"
"ECS  H110I-C33 코잇,ECS,인텔 CPU용,인텔(소켓1151),(인텔) H110,Mini-iTX (17.0 x 17.0cm),DDR4,2개,최대 32GB,,PCIe3.0 x16,,(M.2) 2개,O,O,O,,,,,,,O,,PS/2 포트 2개,O,,,,87010,http://timg.danawa.com/prod_img/500000/711/013/img/5013711_1.jpg"
"ASUS  H110M-A/M.2 STCOM,ASUS,인텔 CPU용,인텔(소켓1151),(인텔) H110,Micro-ATX (24.4 x 24.4cm),DDR4,2개,최대 32GB,,PCIe3.0 x16,,(M.2) 1개,O,O,O,,,,,,,O,,PS/2 포트 2개,O,,,,77500,http://timg.danawa.com/prod_img/500000/995/057/img/4057995_1.jpg"
"GIGABYTE  GA-H110M-S2PH 듀러블에디션 제이씨현,GIGABYTE,인텔 CPU용,인텔(소켓1151),(인텔) H110,Micro-ATX (24.4 x 24.4cm),DDR4,2개,최대 32GB,,PCIe3.0 x16,,,O,,O,,,,,O,O,O,,PS/2 포트 2개,O,,,,76120,http://timg.danawa.com/prod_img/500000/877/994/img/3994877_1.jpg"
"GIGABYTE  GA-H81M-DS2V 제이씨현,GIGABYTE,인텔 CPU용,인텔(소켓1150),(인텔) H81,Micro-ATX (24.4 x 24.4cm),DDR3,2개,최대 16GB,,PCIe x16,없음,,O,O,,,,,,,,O,,PS/2 콤보 1개,O,,,,67010,http://timg.danawa.com/prod_img/500000/797/275/img/2275797_1.jpg"
"ASUS  B85M-G iBORA,ASUS,인텔 CPU용,인텔(소켓1150),(인텔) B85,Micro-ATX (24.4 x 24.4cm),DDR3,4개,최대 32GB,,PCIe3.0 x16,없음,,O,O,O,,,,,,,O,,PS/2 포트 2개,O,,,,80950,http://timg.danawa.com/prod_img/500000/147/074/img/2074147_1.jpg"
"GIGABYTE  GA-Z270X-Ultra Gaming 게이밍에디션 피씨디렉트,GIGABYTE,인텔 CPU용,인텔(소켓1151),(인텔) Z270,일반-ATX (30.5 x 24.4cm),DDR4,4개,최대 64GB,CrossFire X + SLI,PCIe3.0 x16,PCI-Express 3.0 x16,(M.2) 1개,,O,O,,,,,,,O,O,PS/2 콤보 1개,O,,,,245000,http://timg.danawa.com/prod_img/500000/061/813/img/4813061_1.jpg"
"GIGABYTE  GA-B250M-DS3H 듀러블에디션 제이씨현,GIGABYTE,인텔 CPU용,인텔(소켓1151),(인텔) B250,Micro-ATX (24.4 x 22.5cm),DDR4,4개,최대 64GB,,PCIe3.0 x16,,(M.2) 1개,O,O,O,,,,,,,O,,PS/2 콤보 1개,O,,,,107500,http://timg.danawa.com/prod_img/500000/253/816/img/4816253_1.jpg"
"ASRock  H270 PRO4 디앤디컴,ASRock,인텔 CPU용,인텔(소켓1151),(인텔) H270,일반-ATX (24.4 x 30.5cm),DDR4,4개,최대 64GB,CrossFire X,PCIe3.0 x16,PCI-Express 3.0 x16,(M.2) 3개,O,O,O,,,,,,,O,,PS/2 콤보 1개,O,,,,150000,http://timg.danawa.com/prod_img/500000/873/812/img/4812873_1.jpg"
"GIGABYTE  GA-B150M-DS3H 듀러블에디션 제이씨현,GIGABYTE,인텔 CPU용,인텔(소켓1151),(인텔) B150,Micro-ATX (24.4 x 24.4cm),DDR4,4개,최대 64GB,,PCIe3.0 x16,,(M.2) 1개,O,O,O,,,,,,,O,,PS/2 콤보 1개,O,,,,89000,http://timg.danawa.com/prod_img/500000/714/536/img/3536714_1.jpg"
"ASUS ROG MAXIMUS IX EXTREME iBORA,ASUS,인텔 CPU용,인텔(소켓1151),(인텔) Z270,E-ATX (30.5x27.2cm),DDR4,4개,최대 64GB,CrossFire X + SLI(Quad),PCIe3.0 x16,PCI-Express 3.0 x8,(M.2) 2개,,,O,O,,,,,,O,O,PS/2 없음,O,,,O,974980,http://timg.danawa.com/prod_img/500000/315/977/img/4977315_1.jpg"
"ASRock  Z270 Gaming-ITX/ac 디앤디컴,ASRock,인텔 CPU용,인텔(소켓1151),(인텔) Z270,Mini-iTX (17.0 x 17.0cm),DDR4,2개,최대 32GB,,PCIe3.0 x16,,(M.2) 2개,,,O,O,O,,,,,,O,PS/2 콤보 1개,O,,O,O,282000,http://timg.danawa.com/prod_img/500000/281/852/img/4852281_1.jpg"
"ECS DURATHON2 H110M4-C21 코잇,ECS,인텔 CPU용,인텔(소켓1151),(인텔) H110,Micro-ATX (24.4 x 24.4cm),DDR4,2개,최대 32GB,,,,,,,,,,,,,,,,PS/2 포트 2개,O,,,,56610,http://timg.danawa.com/prod_img/500000/122/627/img/4627122_1.jpg"
"ASUS  H110M-K STCOM,ASUS,인텔 CPU용,인텔(소켓1151),(인텔) H110,Micro-ATX (24.4 x 24.4cm),DDR4,2개,최대 32GB,,,,,O,O,,,,,,,,O,,PS/2 포트 2개,O,,,,68000,http://timg.danawa.com/prod_img/500000/546/548/img/3548546_1.jpg"
"ASRock  B250 PRO4 디앤디컴,ASRock,인텔 CPU용,인텔(소켓1151),(인텔) B250,일반-ATX (22.4 x 30.5cm),DDR4,4개,최대 64GB,CrossFire X,PCIe3.0 x16,PCI-Express 3.0 x16,(M.2) 2개,O,O,O,,,,,,,O,,PS/2 콤보 1개,O,,,,135000,http://timg.danawa.com/prod_img/500000/530/812/img/4812530_1.jpg"
"GIGABYTE  GA-Z270X-Gaming 7 어로스 피씨디렉트,GIGABYTE,인텔 CPU용,인텔(소켓1151),(인텔) Z270,일반-ATX (30.5 x 24.4cm),DDR4,4개,최대 64GB,CrossFire X + SLI,PCIe3.0 x16,PCI-Express 3.0 x16,(M.2) 2개,,,O,O,,,,,,O,O,PS/2 콤보 1개,O,,,,377400,http://timg.danawa.com/prod_img/500000/070/811/img/4811070_1.jpg"
