"SAMA  STALLION K901B Zero NOISE 강화유리 BLACK,SAMA,PC케이스(ATX),빅타워,표준-ATX,O,O,O,,,,,O,6개,최대 470 mm,CPU쿨러: 180mm,3열 수랭쿨러 지원,97570,http://timg.danawa.com/prod_img/500000/721/898/img/4898721_1.jpg"
"3RSYS  J210 해머,3RSYS,PC케이스(ATX),미들타워,표준-ATX,,O,O,,,,,O,3개,최대 350 mm,CPU쿨러: 최대 153mm,,25500,http://timg.danawa.com/prod_img/500000/924/969/img/3969924_1.jpg"
"대양케이스  Moonlight 블랙 Blue LED,대양케이스,PC케이스(ATX),미들타워,표준-ATX,,O,O,,,,,,최대 2개,최대 360 mm,CPU쿨러: 최대 170mm,2열 수랭쿨러 지원,44000,http://timg.danawa.com/prod_img/500000/490/089/img/4089490_1.jpg"
"BRAVOTEC  스텔스 EX270 파노라마 윈도우 블랙,BRAVOTEC,PC케이스(ATX),빅타워,표준-ATX,O,O,O,,,,,O,,최대 325 mm,CPU쿨러: 최대 165mm,3열 수랭쿨러 지원,59000,http://timg.danawa.com/prod_img/500000/240/471/img/3471240_1.jpg"
"ABKO  NCORE 티키 USB3.0,ABKO,PC케이스(ATX),미들타워,표준-ATX,,O,O,,,,,O,최대 3개,최대 340 mm,CPU쿨러: 최대 150mm,,15000,http://timg.danawa.com/prod_img/500000/476/258/img/4258476_1.jpg"
"마이크로닉스  루키 USB 3.0,마이크로닉스,PC케이스(M-ATX),미니타워,표준-ATX,,,O,,,,,O,최대 2개,최대 310 mm,CPU쿨러: 최대 156mm,,19500,http://timg.danawa.com/prod_img/500000/802/571/img/3571802_1.jpg"
"COX  A5 오페라 USB3.0 풀 아크릴 윈도우 화이트,COX,PC케이스(ATX),미들타워,표준-ATX,,O,O,,,,,O,최대 4개,최대 375 mm,CPU쿨러: 최대 162mm,2열 수랭쿨러 지원,43960,http://timg.danawa.com/prod_img/500000/852/678/img/4678852_1.jpg"
"ABKO  SUITMASTER EX201 Xcube 4면 강화유리,ABKO,PC케이스(RTX),빅타워,표준-ATX,O,O,O,,,,,O,최대 2개,최대 280 mm,CPU쿨러: 최대 155mm,2열 수랭쿨러 지원,82000,http://timg.danawa.com/prod_img/500000/838/166/img/5166838_1.jpg"
"AONE  K7 오케스트라 LED FULL RGB USB 3.0,AONE,PC케이스(ATX),미들타워,표준-ATX,,O,O,,,,,O,2개,최대 365 mm,CPU쿨러: 최대 155mm,2열 수랭쿨러 지원,47000,http://timg.danawa.com/prod_img/500000/591/115/img/5115591_1.jpg"
"ABKO  SUITMASTER 701S USB3.0 강화유리 화이트,ABKO,PC케이스(ATX),빅타워,표준-ATX,O,O,O,,,,,O,최대 7개,최대 400 mm,CPU쿨러: 최대 165mm,2열 수랭쿨러 지원,87500,http://timg.danawa.com/prod_img/500000/476/978/img/4978476_1.jpg"
"대양케이스  ENIX USB 3.0 풀 아크릴 윈도우 블랙,대양케이스,PC케이스(ATX),미들타워,표준-ATX,,O,O,,,,,,최대 2개,최대 360 mm,CPU쿨러: 최대 170mm,2열 수랭쿨러 지원,28850,http://timg.danawa.com/prod_img/500000/757/278/img/4278757_1.jpg"
"COX  AG 200X USB3.0 풀 아크릴 윈도우,COX,PC케이스(ATX),미들타워,,,,,,,,,,최대 2개,최대 375 mm,CPU쿨러: 최대 162mm,2열 수랭쿨러 지원,47170,http://timg.danawa.com/prod_img/500000/177/815/img/3815177_1.jpg"
"ABKO  SUITMASTER 330S 강화유리 with HALO 화이트,ABKO,PC케이스(ATX),미들타워,표준-ATX,O,O,O,,,,,O,최대 6개,최대 385 mm,CPU쿨러: 최대 162mm,2열 수랭쿨러 지원,66470,http://timg.danawa.com/prod_img/500000/362/219/img/5219362_1.jpg"
