"Plextor  S3C(128GB),Plextor,내장형,2.5형(6.4cm),SATA3 (6Gb/s),128GB,TLC(기타),2D낸드,14 nm,실리콘모션 SM2254,최대 500MB/s,최대 550MB/s,,,,,,,,72910,http://timg.danawa.com/prod_img/500000/684/130/img/5130684_1.jpg"
"Plextor  M8PeG M.2 2280(1TB),Plextor,내장형,M.2 (2280),PCIe3.0x4 (32GT/s),1TB,MLC(토글),,15 nm,마벨 88SS1093,최대 1400MB/s,최대 2500MB/s,,,,,,,,623170,http://timg.danawa.com/prod_img/500000/825/298/img/4298825_1.jpg"
"라온티앤아이  M520 M.2 2280(128GB),라온티앤아이,내장형,M.2 (2280),SATA3 (6Gb/s),128GB,MLC(토글),,,실리콘모션 SM2246EN,최대 170MB/s,최대 550MB/s,,,,,,,,75050,http://timg.danawa.com/prod_img/500000/907/957/img/3957907_1.jpg"
"Lite-On  MU3 3D(120GB),Lite-On,내장형,2.5형(6.4cm),SATA3 (6Gb/s),120GB,TLC(기타),3D낸드,,파이슨 S11,최대 400MB/s,최대 500MB/s,,,,,,,,65030,http://timg.danawa.com/prod_img/500000/145/987/img/4987145_1.jpg"
"갤럭시  GALAX GAMER V100T(120GB),갤럭시,내장형,2.5형(6.4cm),SATA3 (6Gb/s),120GB,TLC(토글),3D낸드,,파이슨 S3111-S11,최대 500MB/s,최대 520MB/s,,,,,,,,66650,http://timg.danawa.com/prod_img/500000/687/884/img/4884687_1.jpg"
"타무즈  M720 M.2 2280(128GB),타무즈,내장형,M.2 (2280),PCIe3.0x4 (32GT/s),128GB,MLC(토글),2D낸드,15 nm,파이슨 PS5007-E7,최대 1200MB/s,최대 2300MB/s,,,,,,,,107220,http://timg.danawa.com/prod_img/500000/999/935/img/4935999_1.jpg"
"TOPDISK  SKT20(120GB),TOPDISK,내장형,2.5형(6.4cm),SATA3 (6Gb/s),120GB,TLC(토글),,15 nm,실리콘모션 SM2256K,최대 400MB/s,최대 560MB/s,,,,,,,,63790,http://timg.danawa.com/prod_img/500000/677/242/img/4242677_1.jpg"
"WD  Green M.2 2280(240GB),WD,내장형,M.2 (2280),SATA3 (6Gb/s),250GB,확인 요망,,,,최대 465MB/s,최대 540MB/s,,,,,,,,109460,http://timg.danawa.com/prod_img/500000/828/800/img/4800828_1.jpg"
"라온티앤아이  RX630(256GB),라온티앤아이,내장형,2.5형(6.4cm),SATA3 (6Gb/s),256GB,MLC(토글),,,실리콘모션 2246,280MB/s,530MB/s,,,,,,,,106140,http://timg.danawa.com/prod_img/500000/621/063/img/4063621_1.jpg"
"Plextor  M7V M.2 2280(256GB),Plextor,내장형,M.2 (2280),SATA3 (6Gb/s),256GB,TLC(토글),,,마벨 88SS1074B1,최대 530MB/s,최대 560MB/s,,,,,,,,121380,http://timg.danawa.com/prod_img/500000/209/966/img/3966209_1.jpg"
