"GeIL  DDR4 16G PC4-25600 CL16 EVO-X RGB (8Gx2),GeIL,DDR4,PC용,2ea,포함,16GB,3200MHz,1.35V,204010,http://timg.danawa.com/prod_img/500000/481/541/img/4541481_1.jpg"
"CORSAIR  DDR4 32GB PC4-24000 CL15 VENGEANCE RGB (8Gx4),CORSAIR,DDR4,PC용,4ea,포함,32GB,3000MHz,1.35V,470030,http://timg.danawa.com/prod_img/500000/745/041/img/5041745_1.jpg"
"GeIL  DDR4 16G PC4-24000 CL15 EVO-X 화이트 RGB (8Gx2),GeIL,DDR4,PC용,2ea,포함,16GB,3000MHz,1.35V,197760,http://timg.danawa.com/prod_img/500000/108/989/img/4989108_1.jpg"
"G.SKILL  DDR4 32G PC4-25600 CL16 TRIDENT ZKW (16Gx2),G.SKILL,DDR4,PC용,2ea,포함,32GB,3200MHz,1.35V,415360,http://timg.danawa.com/prod_img/500000/367/589/img/4589367_1.jpg"
"G.SKILL  DDR4 16G PC4-25600 CL16 RIPJAWS V VR (8Gx2),G.SKILL,DDR4,PC용,2ea,포함,16GB,3200MHz,1.35V,238960,http://timg.danawa.com/prod_img/500000/631/571/img/4571631_1.jpg"
"GeIL  DDR4 8G PC4-19200 CL16 EVO-X RGB,GeIL,DDR4,PC용,1ea,포함,8GB,2400MHz,1.20V,91160,http://timg.danawa.com/prod_img/500000/916/540/img/4540916_1.jpg"
"G.SKILL  DDR4 8G PC4-17000 CL15 AEGIS,G.SKILL,DDR4,PC용,1ea,미포함,8GB,2133MHz,1.20V,76040,http://timg.danawa.com/prod_img/500000/648/792/img/3792648_1.jpg"
"G.SKILL  DDR4 32G PC4-27700 CL16 TRIDENT Z RGB (8Gx4),G.SKILL,DDR4,PC용,4ea,포함,32GB,3466MHz,1.35V,676000,http://timg.danawa.com/prod_img/500000/359/905/img/4905359_1.jpg"
"G.SKILL  DDR4 32G PC4-30900 CL18 TRIDENT Z RGB (8Gx4),G.SKILL,DDR4,PC용,4ea,포함,32GB,3866MHz,1.35V,839050,http://timg.danawa.com/prod_img/500000/429/905/img/4905429_1.jpg"
"G.SKILL  DDR4 32G PC4-25600 CL16 TRIDENT ZSW (16Gx2),G.SKILL,DDR4,PC용,2ea,포함,32GB,3200MHz,1.35V,428750,http://timg.danawa.com/prod_img/500000/455/589/img/4589455_1.jpg"
"타무즈  노트북 DDR3 8G PC3-12800 CL11 1.35V,타무즈,DDR3,노트북용,1ea,미포함,8GB,1600MHz,1.35V,62450,http://timg.danawa.com/prod_img/500000/088/215/img/5215088_1.jpg"
"GeIL  DDR4 16G PC4-19200 CL16 EVO-X 화이트 RGB (16Gx1),GeIL,DDR4,PC용,1ea,포함,16GB,2400MHz,1.20V,163580,http://timg.danawa.com/prod_img/500000/094/989/img/4989094_1.jpg"
"ESSENCORE KLEVV DDR3 8G PC3-12800 CL9 FIT,ESSENCORE,DDR3,PC용,1ea,포함,8GB,1600MHz,1.50V,56210,http://timg.danawa.com/prod_img/500000/068/055/img/5055068_1.jpg"
"G.SKILL  DDR4 8G PC4-19200 CL15 AEGIS,G.SKILL,DDR4,PC용,1ea,미포함,8GB,2400MHz,1.20V,78100,http://timg.danawa.com/prod_img/500000/970/875/img/3875970_1.jpg"
"G.SKILL  DDR4 32G PC4-25600 CL14 TRIDENT Z RGB (16Gx2),G.SKILL,DDR4,PC용,2ea,포함,32GB,3200MHz,1.35V,593800,http://timg.danawa.com/prod_img/500000/116/131/img/5131116_1.jpg"
"G.SKILL  DDR4 8G PC4-17000 CL15 RIPJAWS V VR,G.SKILL,DDR4,PC용,1ea,포함,8GB,2133MHz,1.20V,83270,http://timg.danawa.com/prod_img/500000/109/561/img/4561109_1.jpg"
"GeIL  DDR4 4G PC4-19200 CL16 PRISTINE,GeIL,DDR4,PC용,1ea,미포함,4GB,2400MHz,1.20V,36270,http://timg.danawa.com/prod_img/500000/600/971/img/3971600_1.jpg"
"마이크론 Crucial DDR4 4G PC4-17000,마이크론,DDR4,PC용,1ea,미포함,4GB,2133MHz,1.20V,34510,http://timg.danawa.com/prod_img/500000/606/796/img/2796606_1.jpg"
"G.SKILL  DDR4 16G PC4-33000 CL19 TRIDENT Z RGB (8Gx2),G.SKILL,DDR4,PC용,2ea,포함,16GB,4133MHz,1.35V,429700,http://timg.danawa.com/prod_img/500000/242/905/img/4905242_1.jpg"
"GeIL  DDR4 8G PC4-17000 CL15 EVO-X RGB,GeIL,DDR4,PC용,1ea,포함,8GB,2133MHz,1.20V,89080,http://timg.danawa.com/prod_img/500000/896/540/img/4540896_1.jpg"
"G.SKILL  DDR4 32G PC4-25600 CL15 TRIDENT Z RGB (16Gx2),G.SKILL,DDR4,PC용,2ea,포함,32GB,3200MHz,1.35V,572480,http://timg.danawa.com/prod_img/500000/137/131/img/5131137_1.jpg"
"GeIL  DDR4 16G PC4-19200 CL15 SUPER LUCE WHITE 화이트 (8Gx2),GeIL,DDR4,PC용,2ea,포함,16GB,2400MHz,1.20V,181220,http://timg.danawa.com/prod_img/500000/810/784/img/3784810_1.jpg"
"GeIL  DDR4 8G PC4-19200 CL15 SUPER LUCE WHITE 화이트 (4Gx2),GeIL,DDR4,PC용,2ea,포함,8GB,2400MHz,1.20V,102550,http://timg.danawa.com/prod_img/500000/766/784/img/3784766_1.jpg"
"GeIL  DDR4 16G PC4-19200 CL16 PRISTINE,GeIL,DDR4,PC용,1ea,미포함,16GB,2400MHz,1.20V,130490,http://timg.danawa.com/prod_img/500000/664/971/img/3971664_1.jpg"
